x1;x2;x3;x4;x5;x6;x7;x8
4.15012624329989e-6;3.360920332058847e-6;4.134091050168019e-6;9.625442849504555e-7;4.158669073146041e-6;3.972443309736501e-6;4.013143127904555e-6;3.979387292750426e-6
3.7205396993500087e-6;2.0415556798131575e-6;3.664389327092147e-6;4.239112614634366e-6;3.8510232223313074e-6;3.401521236444232e-6;3.479068650857365e-6;3.357233102996924e-6
3.302190295689967e-6;3.47957559627545e-6;3.2020032495473805e-6;3.997061930779011e-6;3.5602968694224738e-6;2.8464427696986036e-6;2.986459912992543e-6;2.756730962376947e-6
3.1079920080232023e-6;3.246986154154004e-6;2.9681484331052136e-6;3.931712892325495e-6;3.455021983289158e-6;2.5508716911303032e-6;3.1831730862906465e-6;2.4593342959818165e-6
3.1375743950248996e-6;3.108302058905087e-6;2.9244281018199276e-6;3.915048614829548e-6;3.562553570139992e-6;2.402021973767422e-6;3.0978400557884165e-6;2.3228388960056583e-6
3.309892608744948e-6;3.077247877556463e-6;2.9062615646795393e-6;2.936419352402244e-7;1.3403900441075935e-6;2.2755204836709995e-6;2.6289306177067867e-6;2.235792637331607e-6
3.6453269637014654e-6;3.1642213621667773e-6;1.3567299712413752e-6;2.8596416541578367e-7;1.359198458948073e-6;2.141965423812962e-6;2.635581273896034e-6;2.1798208427207504e-6
1.2077964996275335e-6;3.368690406364278e-6;2.856766152613261e-6;3.6517596298103995e-6;1.2258618492383049e-6;1.9515616024588864e-6;2.636172503936207e-6;2.1395704384270058e-6
1.4750472502280144e-6;1.6809827562675733e-6;2.7230462243788046e-6;3.2177943862896955e-6;3.393217685527084e-6;1.6652783903800382e-6;2.638703918992132e-6;2.1117027559488005e-6
1.5413590346731147e-6;1.8919582704656588e-6;2.6592134643094216e-6;2.934891840537617e-6;3.0791866615730863e-6;1.3979766180391089e-6;2.6475325344966833e-6;2.092852460115594e-6
1.4563669381121612e-6;1.908020170612485e-6;2.612576310338908e-6;2.7777553038528585e-6;2.8870876041247656e-6;3.742893931880892e-6;2.666261051023054e-6;2.080065019377515e-6
1.3294129815022366e-6;1.756729904744486e-6;2.5910467436434284e-6;2.72018945393812e-6;2.7814448246126917e-6;3.5479416640324196e-6;2.700948926028203e-6;2.071247419141887e-6
4.34821037616145e-6;1.5428322695078987e-6;2.587300681882037e-6;2.753675842387496e-6;2.7349082276419317e-6;3.535475393798902e-6;2.7632388875857468e-6;2.064284973290452e-6
4.33371083258018e-6;3.313088210259601e-6;2.6004325133713534e-6;2.8919132993736316e-6;2.7330234631690017e-6;3.6982953556683416e-6;2.8757780011679524e-6;2.0575548430954905e-6
1.4569095500741729e-6;3.0275169729475363e-6;2.6359201704658268e-6;3.181506214716899e-6;2.7771835451750645e-6;1.5296868312339926e-6;3.0721262321437593e-6;2.0493717180736804e-6
1.6862834272627305e-6;2.8495183540818105e-6;2.6897645894458466e-6;3.6656459256800943e-6;2.8822343013837215e-6;1.8335103055217163e-6;3.362974464909961e-6;2.0376149827849125e-6
1.8043207897983753e-6;2.7411412603927993e-6;2.812970896654152e-6;8.750302565554914e-7;3.079478932595505e-6;1.9871761653267278e-6;1.6182018329475043e-6;2.0192691939992857e-6
1.8456126188693326e-6;2.6724728603397543e-6;2.894933157343958e-6;1.0943124648307015e-6;3.368361917620114e-6;2.0470688062116346e-6;1.8979394283793212e-6;1.9886796314988774e-6
1.8230541599146908e-6;2.6172176661013344e-6;4.5398898278446026e-7;1.2017005386219004e-6;1.3382410937967734e-6;2.0435532025093426e-6;2.0068338024326365e-6;1.9375969573811637e-6
1.7302056868768856e-6;2.5569628983197085e-6;2.8592186359097875e-6;1.2313822675619258e-6;1.4649142653830557e-6;1.9736068182670144e-6;1.9928744011383143e-6;1.8471909689781364e-6
1.517450349461194e-6;2.464080396928962e-6;2.5025684893460654e-6;1.172983367361968e-6;1.3256811167951795e-6;1.7904163627621716e-6;1.8410519992211725e-6;1.6633249224529773e-6
1.1022637893859671e-6;2.2875428796099848e-6;2.0845418728652043e-6;9.028523985041782e-7;1.0612533454406341e-6;1.350071475694222e-6;1.4345928483443402e-6;1.2217253827062385e-6
7.123503127576277e-7;2.006582402155074e-6;1.576061030135334e-6;2.517136215411164e-7;2.205798528873214e-6;6.560205982812403e-7;7.977951355135574e-7;4.852394080030089e-7
1.6885145859809007e-6;2.2110603940599297e-6;1.6560223390731838e-6;1.538542312854116e-7;2.0635403528062336e-6;5.515909246118551e-7;6.957159920655174e-7;3.6736528185897063e-7
