x1;x2;x3;x4;x5;x6;x7;x8
4.0142054755531905e-6;4.2903549596757555e-6;3.819827685283376e-6;1.7677448724946217e-6;4.048341786098896e-6;4.042234840479735e-6;4.090406395310865e-6;3.952575216468881e-6
3.366675541561817e-6;3.950202878090318e-6;2.8744070954989405e-6;5.850425751396424e-7;3.7246515465783442e-6;3.6836823574749532e-6;3.6634811379680496e-6;3.3598984001352097e-6
2.5678696395513995e-6;3.4902192846814017e-6;1.9110471512778883e-6;4.115748574852895e-7;3.2016700480134195e-6;3.237882838683565e-6;3.125815995432271e-6;2.670634157962315e-6
2.264748706053557e-6;3.3566671944363526e-6;1.5920590717965255e-6;3.5879784563486514e-7;3.046760576282023e-6;3.096422917655433e-6;2.9355284979554168e-6;2.3986785244151656e-6
2.376080730145522e-6;3.7414325964647733e-6;1.4544783414721596e-6;3.0388382956959896e-7;3.25518891569355e-6;3.290155076856039e-6;3.1725993603150007e-6;2.421796103167201e-6
2.7189448192363057e-6;1.5420838007462628e-7;1.3365933623245783e-6;2.622223182910226e-7;3.6876375789891327e-6;3.7105691432216495e-6;3.648704267372167e-6;2.490509143191386e-6
3.4447593923120174e-6;1.3465797046983042e-7;1.2310264577338313e-6;2.290149762077136e-7;3.065667486839176e-7;3.4418388307614033e-7;2.410092555792252e-7;2.8464053388778625e-6
1.5741606433162582e-7;1.2598767395995851e-7;1.132308190757171e-6;2.0439348952259487e-7;2.9875286771488106e-7;3.4782485825301895e-7;2.2940022200830435e-7;3.5142849570666563e-6
1.3069523916804823e-7;1.2388492548211188e-7;1.034182880198636e-6;1.8875204447518588e-7;2.8927512387414864e-7;3.4726261058109085e-7;2.0796155154175288e-7;2.573567966747932e-7
1.256966710606026e-7;1.2371137684913084e-7;9.280301533209812e-7;1.7652030668201454e-7;2.860178173098635e-7;3.4673393313105565e-7;2.002215718977867e-7;2.541125862497129e-7
1.2091949803976055e-7;1.2452818168264287e-7;8.007570845797727e-7;1.4849436230946414e-7;2.8898416705220763e-7;3.483236570136393e-7;2.0959501932264216e-7;2.4169196784183e-7
1.1875803662468957e-7;1.2565239712257544e-7;6.443806320660235e-7;1.32953788070462e-7;2.829800520604465e-7;3.550430580155736e-7;2.2923795108324996e-7;2.321282075104717e-7
1.1901974355673507e-7;1.268456097900131e-7;5.379882797866758e-7;4.468980887622297e-6;2.7544727375343306e-7;3.575490410738744e-7;2.3333483394007657e-7;2.2661291554870167e-7
1.1915413513954046e-7;1.2773077892611767e-7;4.781939191931396e-6;4.397725832460739e-6;4.2421064807445295e-6;4.929988673111658e-6;4.948802767078933e-6;2.2420534169075133e-7
1.1917938810145225e-7;1.2837396517730047e-7;4.780018358265001e-6;4.4001121448986135e-6;4.038155971731972e-6;6.043926957903288e-7;4.94945928703882e-6;2.2328115736121454e-7
1.1939884001957083e-7;1.2910231538578514e-7;4.7715948491638615e-6;4.423834625581379e-6;3.6008240996090787e-6;3.653673848993467e-7;2.3538121060593032e-7;2.2302306972364424e-7
1.15314225256252e-7;1.257093509070591e-7;6.406939705207938e-7;1.4234789931035632e-7;6.104901649859751e-8;3.681199010731903e-7;2.205148321967708e-7;2.2388663445536443e-7
1.1723205883972342e-7;1.2672961616019572e-7;7.634117281759916e-7;1.1647771852639049e-7;2.96229399929034e-6;3.713025196751096e-7;2.091410955735588e-7;2.3014252258945162e-7
1.2089688147372583e-7;1.2711971927726404e-7;7.996286313645029e-7;1.0686968834880775e-7;2.408970844039953e-6;3.777311230047969e-7;2.1139082122339854e-7;2.4253803978978366e-7
1.3017067612958148e-7;1.2680842258210862e-7;8.342811355287999e-7;1.0290354106229558e-7;2.0420125126664055e-6;3.9021178962158076e-7;2.3015050365777032e-7;2.580340478959722e-7
1.4789589429830592e-7;1.2627001700297416e-7;8.341935457342424e-7;1.0126780333230891e-7;1.7082251769742525e-6;4.109372135894416e-7;2.575258496068723e-7;2.5091926435669e-7
1.4309684241990447e-7;1.3082051791075198e-7;7.165196491162463e-7;1.1793338727971676e-7;1.1277758893845323e-6;3.965772920344655e-7;2.7689690609728014e-7;2.470741068522913e-7
1.0463601806408419e-6;3.516844984945563e-8;1.923171615688087e-7;3.416167765398822e-8;3.472682536629581e-7;1.0107300762373306e-7;1.659032620736166e-7;1.3685198503986064e-6
1.3452610814950821e-7;2.6789074178503442e-8;1.366616082208168e-7;2.6047613502460012e-8;2.656397171782784e-7;6.597705440702172e-8;2.0172380104230658e-7;2.1230582965524358e-7
