x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.0659841732834944e-6;1.2526751790633788e-6;1.2435662691925011e-6;1.2039182243404383e-6;1.253110047230085e-6;1.0063806990823614e-6;1.2010871790301298e-6;1.0350447065823964e-6
1.3991235976717348e-6;1.7611858077714541e-6;1.7562680525350885e-6;1.6896128061358558e-6;1.7633158350917248e-6;1.2652039328871563e-6;1.6881868856074227e-6;1.3943135043008587e-6
1.8523950444775107e-6;1.9505723736809493e-6;1.9376252471537666e-6;1.8655220430099204e-6;1.9462898202677224e-6;1.1708392371449439e-6;1.8244676542862123e-6;1.518546063319746e-6
1.6276493894728051e-6;2.0799218806957566e-6;2.0478219635730536e-6;1.939250855139157e-6;2.066246506841806e-6;3.0667546682253327e-6;2.263220527324149e-6;1.6028732794196096e-6
1.2534845652273135e-6;2.1355476085351643e-6;2.1335212296341658e-6;1.9781965292918287e-6;2.1271469886834905e-6;2.9090891557577107e-6;2.270968432298171e-6;1.6612525528002383e-6
3.396620208178602e-6;2.153720733236322e-6;2.201328232028793e-6;1.9901044414553583e-6;2.1514815403647875e-6;2.9876231107816837e-6;2.2519353782083343e-6;1.686600691243933e-6
3.1227066705832064e-6;2.157263122593451e-6;2.2956975866719134e-6;1.984168121853629e-6;2.1676239926645757e-6;3.2053619358718395e-6;2.25798103560604e-6;1.6969075056220684e-6
3.2400422509049747e-6;2.1542196242711773e-6;2.3961393853040656e-6;1.9660249194885574e-6;2.1868910039021916e-6;1.1502991102066885e-6;2.271292594998295e-6;1.7002005035109718e-6
3.4828248001996326e-6;2.1494636836601724e-6;1.7944614353184762e-6;1.9329926964321953e-6;2.2205375994957683e-6;1.2391045697776492e-6;1.884832952558213e-6;1.6996666610544573e-6
8.662747746979854e-7;2.145322570287712e-6;1.8581150845551506e-6;1.8758283733113357e-6;2.2590231308148844e-6;1.4831522413180879e-6;1.8558188382934775e-6;1.6978879706336455e-6
8.945773569227465e-7;2.1423140569523157e-6;1.9163225363442314e-6;1.7806554253218962e-6;1.8417294664229187e-6;1.563101072017175e-6;2.1748890123566924e-6;1.6965683515602905e-6
1.1226639666459243e-6;2.1408005819230383e-6;1.8970591874877257e-6;1.6250507238343221e-6;1.8360764839109477e-6;1.4668758965705033e-6;2.075423494274541e-6;1.6969853819351168e-6
1.1523602631210475e-6;2.1411999496680067e-6;1.8153037191736026e-6;1.3762518785326382e-6;2.254507910569236e-6;1.2206721942974836e-6;1.9270794717402843e-6;1.700384723203269e-6
9.817468752264112e-7;2.1442385680236723e-6;2.412418107092734e-6;1.0128079446304423e-6;2.2218904565957635e-6;2.8797898943904753e-6;1.720615491495542e-6;1.7088703624105837e-6
3.1412735433959512e-6;2.1514120021627468e-6;2.307011605561972e-6;2.9201542420606262e-6;2.1858597744895275e-6;2.4623411201993193e-6;1.4402107928973765e-6;1.7251660142331557e-6
2.765199292538502e-6;2.1653587477922532e-6;2.2308044913217554e-6;2.2394369140314194e-6;2.1773149073606652e-6;2.2213519885917964e-6;2.9578900888499003e-6;1.7554626975554311e-6
2.7048797148223767e-6;2.191630407154891e-6;2.220574999531495e-6;1.9378019301711573e-6;2.1934184933169717e-6;2.139006340124581e-6;2.703862902181767e-6;1.8087418943656403e-6
3.0258936931266784e-6;2.2411810987120113e-6;2.276500230507831e-6;1.8573283360046397e-6;2.240414233750595e-6;2.1759153399935036e-6;2.6680165588763147e-6;1.9108135965061117e-6
3.4252256486183337e-6;2.3416728735700613e-6;2.4288836866402155e-6;1.973935972719407e-6;2.3479324358411207e-6;2.3859157310349396e-6;2.940660410071299e-6;2.1477707649188485e-6
1.387719391673356e-6;2.5426946912225843e-6;2.759467828960054e-6;2.7837144248699112e-6;2.5734636291775916e-6;3.0316036014053973e-6;3.3811609814621515e-6;2.9252071783089565e-6
1.614934912234405e-6;2.8362530854792515e-6;3.1772393580234616e-6;4.724229249491389e-6;2.944416870585032e-6;4.215231192775717e-6;2.296743034924159e-6;4.424488095250033e-6
2.2249182466014645e-6;2.2031068181179155e-6;2.2103074479157797e-6;4.59377178654754e-6;2.7381506975391124e-6;4.048690757528367e-6;1.9080057536942775e-6;4.230341135207698e-6
