x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
8.057840946897589e-7;7.788072222914994e-7;3.770072813650037e-7;1.9600159214184227e-7;6.463576619661026e-7;1.219729544216559e-6;8.263708304407025e-7;1.0420521211102947e-6
9.927045030295445e-7;9.498036773475539e-7;4.1864836875800197e-7;2.2768226690958945e-7;7.683627637199548e-7;1.6929713753707655e-6;1.0225874811303734e-6;1.3306780107635156e-6
1.0185237892039516e-6;9.700438734714169e-7;3.952826975199903e-7;2.484178104498847e-7;6.915963725575155e-7;1.8253961072905407e-6;1.0460876483784803e-6;1.2098047429648187e-6
1.057869602535388e-6;1.0058272410782466e-6;3.9126804092473553e-7;2.7730944022712995e-7;3.4329680792451783e-6;1.9367830043218255e-6;1.0741142268683462e-6;9.581451844248906e-7
1.126978311875374e-6;1.0762168166793528e-6;4.977226013675387e-6;3.202173701195903e-7;3.243443819389211e-6;1.989815045829239e-6;1.123642751102847e-6;2.8614614514144156e-6
1.154014659132636e-6;1.1074508614715184e-6;4.9774308413857095e-6;4.043084687709509e-7;3.5149300963913376e-6;2.00483195632771e-6;1.1223401602638156e-6;2.1378981263614494e-6
1.1674101095837596e-6;1.091666308785577e-6;4.120762179597874e-7;1.0604435216092537e-6;3.808570378212328e-6;1.9986264338028283e-6;1.099137339125593e-6;1.7732669025377887e-6
1.1766297532954647e-6;1.0960281125252901e-6;4.211442664439405e-7;1.998857291766266e-6;5.465729949844057e-7;1.9763992630135375e-6;1.0579721468660089e-6;1.592525027199333e-6
1.182819901424305e-6;1.0966779972754847e-6;4.3090330033750275e-7;4.915641688149791e-7;8.945169038955575e-8;1.931374238095941e-6;9.970348002037908e-7;1.5023334779217173e-6
1.1872766615094062e-6;1.0880978859391572e-6;4.0702264234250445e-7;7.325566600729848e-8;6.699916268353947e-7;1.81166754432049e-6;9.064655023501908e-7;1.4505675769639045e-6
1.1913103989997705e-6;1.0703537024953941e-6;3.9039543516419e-7;7.088536093128214e-7;7.644586383313348e-7;1.6630070476539857e-6;7.463436161845031e-7;1.4232663275073638e-6
1.1963618105666914e-6;1.0464022377309581e-6;3.8158092857976693e-7;8.276396070338956e-7;7.818118120289182e-7;1.4504926987958617e-6;4.530265260597379e-6;1.4115428103820667e-6
1.2042348743627081e-6;1.0112894300894286e-6;3.761632823239702e-7;8.409415285684822e-7;6.940836266610904e-7;1.0741389389857172e-6;5.052512900551058e-8;1.412789792074887e-6
1.2158839841952292e-6;9.656409084996765e-7;3.676889777263811e-7;8.31797317614076e-7;2.3827768764983796e-6;2.0854593113284286e-6;2.4197608853504366e-6;1.4285391658740694e-6
1.2331778195038997e-6;9.36319325512977e-7;3.612027076536055e-7;7.146216271449147e-7;1.3541983581078034e-6;1.0651053801304912e-6;1.8595366247471335e-6;1.4629199552337583e-6
1.260071178273749e-6;8.642161184595495e-7;2.434923939901903e-6;2.5911351237655133e-6;1.0919975500138514e-6;3.5035853656784534e-6;1.668682229944855e-6;1.5265122902022368e-6
1.3010454567227608e-6;7.162876491059238e-7;1.5849998435096528e-6;1.6635422232513498e-6;1.0074324731301526e-6;3.282438308811016e-6;1.8099708630858236e-6;1.6496446203897928e-6
1.3697304629059277e-6;3.1248040107843466e-6;1.3723892312915432e-6;1.3880542255081918e-6;9.74695750515974e-7;3.528531517475497e-6;2.6879944026737903e-6;1.935601766141291e-6
1.5410479344957321e-6;2.7087823006940838e-6;1.3687601070027469e-6;1.3631978365713022e-6;9.760717619169327e-7;3.825518030131646e-6;3.3713721467373663e-6;2.6672372281341484e-6
2.5433698435554e-6;3.116610112363753e-6;1.9769832036947775e-6;2.336776438304513e-6;1.9986436380118618e-6;7.934746160750899e-7;7.210130505215582e-7;3.507880041897082e-6
4.728868014212526e-6;4.947578463031567e-6;4.979974730132689e-6;4.943429111502637e-6;4.937053171277656e-6;1.3813457489780802e-7;8.859661424436703e-8;2.0352050997874857e-6
4.6022950160603076e-6;4.9179455924035334e-6;4.974171684366145e-6;4.908599147853654e-6;4.898172396976396e-6;1.8814159228601878e-6;1.7217071006231004e-6;8.292473325519341e-7
