x1;x2;x3;x4;x5;x6;x7;x8
1.092530978873432e-9;7.660024609584396e-10;4.926648563274881e-10;1.4247911152534367e-10;2.753357208973195e-10;1.290600525461085e-9;6.255774344812959e-10;1.3885856788317772e-9
9.658840461653915e-10;7.406561159172572e-10;4.790172922660509e-10;1.2603797466123786e-10;2.5161670850591436e-10;1.252673430460574e-9;6.367845738195646e-10;1.3940264423411336e-9
9.095774875467986e-10;7.142208137133869e-10;4.6282423601472087e-10;1.1790977957033927e-10;2.3196078388507606e-10;1.2239016121294491e-9;6.041939653720533e-10;1.4162042447609412e-9
8.499289969219656e-10;7.040927970717436e-10;4.4948397455750915e-10;1.245356139054439e-10;2.0841968539726503e-10;1.2088125741265091e-9;6.025301201369526e-10;1.391230962479506e-9
8.256320280578251e-10;6.914605862077708e-10;4.406133285055225e-10;1.3510165854213383e-10;1.936415351495021e-10;1.193612587249159e-9;5.99463021475971e-10;1.3660266960181216e-9
8.955485969520733e-10;6.765568689487073e-10;4.2631689133572333e-10;1.412354461993322e-10;1.82669863888075e-10;1.184134119838432e-9;5.980599954549765e-10;1.3125447214220195e-9
9.62498090861481e-10;6.596128160756799e-10;3.9293530411375824e-10;1.307557648911213e-10;1.6862419287886808e-10;1.1927585174219423e-9;6.027052995293882e-10;1.1931467428856701e-9
1.042725353899012e-9;6.399059183494808e-10;3.691926589520301e-10;1.2626882567005435e-10;1.5870208112097704e-10;1.196018929668207e-9;6.044566021447079e-10;1.0567029358000564e-9
1.1784561764574326e-9;6.03230786088614e-10;3.405329472987502e-10;1.30411589634609e-10;1.445100850784565e-10;1.1773667035419855e-9;6.048067547040273e-10;9.225934113949182e-10
1.2975655196930068e-9;5.342029389284847e-10;2.831610091277228e-10;1.3213086764161293e-10;1.1802658115336605e-10;1.114886982275738e-9;6.076066943323436e-10;8.278685948352205e-10
1.393950902907679e-9;4.784699708666192e-10;2.3785643432397314e-10;1.3783372614086924e-10;9.978066349555211e-11;1.055116224092609e-9;6.220080702374824e-10;7.445394362117296e-10
1.4477060643833556e-9;4.352387046203959e-10;2.0121403398487876e-10;1.4202709262673482e-10;8.588849401243176e-11;9.920148694297873e-10;6.430245806015017e-10;6.961597065018407e-10
1.5037949187930368e-9;4.070592842680115e-10;1.5925612994791678e-10;1.3407462446006365e-10;7.690912642404048e-11;9.080296705652049e-10;6.703728981173127e-10;7.130306029268847e-10
1.5474369428254773e-9;3.874500974366043e-10;1.2673030450326804e-10;1.2649960222282642e-10;6.799782595994341e-11;8.344065209216514e-10;7.073297300383541e-10;7.41585062778361e-10
1.5661797380092728e-9;3.9510672482763364e-10;1.0766681159822622e-10;1.294930073484626e-10;6.554413409097702e-11;7.40571655012045e-10;7.377835228798509e-10;7.805869518311617e-10
1.588500899453735e-9;4.675001436543807e-10;1.0742936796312006e-10;1.5681575404962481e-10;6.812652906939243e-11;5.824998404337358e-10;7.467327760940725e-10;8.401920731168209e-10
1.6281289554361562e-9;5.489303301190336e-10;1.1333836656496851e-10;1.9663400523426533e-10;7.222301667822929e-11;4.417238704905122e-10;7.581872182394476e-10;9.062368786146473e-10
1.6905410455964438e-9;5.936717879750476e-10;1.0624075447300223e-10;2.1799450897116043e-10;6.876941341673732e-11;3.376245961803881e-10;7.755632932736869e-10;1.0041142511673566e-9
1.7315598704343987e-9;5.417093499699494e-10;8.30389254718052e-11;1.8838491666161214e-10;5.301194122074916e-11;2.9820323719625433e-10;7.925371201916253e-10;1.1604569949968068e-9
1.7430404458562846e-9;4.868501632294915e-10;8.067187151449457e-11;1.7387375625821403e-10;4.5101753929107264e-11;2.762406238273823e-10;8.089481319701597e-10;1.303377384911115e-9
1.723922942294329e-9;4.3570249439086927e-10;8.958050099769988e-11;1.699392539507594e-10;4.14770910641051e-11;2.9074910244819465e-10;8.120238217665618e-10;1.4238842368555636e-9
1.6991526614636356e-9;3.793865353761463e-10;1.1180736651636839e-10;1.7037720817729241e-10;4.049178946137597e-11;3.887753595816953e-10;7.769872445543051e-10;1.5259780263783206e-9
1.6674411258895247e-9;3.246768446111845e-10;1.4956573646465046e-10;1.7441896406513215e-10;4.2737880320397033e-11;5.098567604108358e-10;7.374454416246155e-10;1.6145952204103167e-9
1.6062738188337243e-9;2.672687882704997e-10;2.2311939259850538e-10;1.6389686577418614e-10;4.5101753929107264e-11;6.340945831650505e-10;6.983791591067017e-10;1.6773897427571458e-9
