x1;x2;x3;x4;x5;x6;x7;x8
8.701955629380436e-6;8.494333818256778e-6;8.701860342427353e-6;8.872389766876827e-6;8.567811008117689e-6;8.592854307458563e-6;8.491076696356164e-6;8.643605643167777e-6
7.793057798453616e-6;7.616417195152849e-6;7.784145594048652e-6;8.039105406495366e-6;7.666497658870326e-6;7.691406083385019e-6;7.643834096869536e-6;7.708924936079468e-6
6.678815819305368e-6;6.608134240821841e-6;6.6413086353601876e-6;6.611643711925681e-6;6.632526616818902e-6;6.6573833104815245e-6;6.626267484470447e-6;6.562037702661606e-6
6.005031023260595e-6;5.990028302672478e-6;5.963430556306105e-6;5.8726254968429e-6;5.993200292422333e-6;6.031949525968517e-6;6.002645238266618e-6;5.902464227143664e-6
5.921518496544967e-6;5.925537113907132e-6;5.934536005879364e-6;5.935889519915581e-6;5.917228131713249e-6;6.028967056842114e-6;5.9491787084976225e-6;5.858714543106013e-6
6.035545065986643e-6;5.977341783963881e-6;5.971644803763008e-6;5.957247629150987e-6;5.972753169792892e-6;5.7989099176404805e-6;5.959301921890319e-6;5.897831170040785e-6
6.149603629089677e-6;6.001091600416695e-6;5.983992818200463e-6;5.954300032224545e-6;5.994099820602966e-6;5.897074021974176e-6;5.993786320564386e-6;5.9186795566992745e-6
5.720761191202938e-6;6.003478481677435e-6;5.977543741478934e-6;5.943918190388852e-6;5.994444013052405e-6;5.884373669864238e-6;5.9973996786080725e-6;5.886288704199098e-6
5.827490335549771e-6;6.001465484513905e-6;5.962356815329946e-6;5.936567143741376e-6;5.989576778697603e-6;5.808429423345875e-6;5.990827611243669e-6;5.886643518783757e-6
5.804768270551207e-6;6.0001063928614755e-6;5.938614326844362e-6;5.931324414756523e-6;5.981155009393039e-6;6.082893630934863e-6;5.97985531587289e-6;5.883524930446295e-6
5.695282763047501e-6;5.999674968575825e-6;6.013596820917282e-6;5.925174078256701e-6;5.990685259170538e-6;6.017044665730765e-6;6.026875001909079e-6;5.877169798152408e-6
6.120431855519681e-6;5.999628719259548e-6;5.990910515706754e-6;5.9203872296128294e-6;5.977770148044444e-6;5.999420068772998e-6;6.024903164556549e-6;5.899464340310693e-6
6.003213943780095e-6;5.999609269594461e-6;5.986154859933632e-6;5.921832660402712e-6;6.031346309505509e-6;6.008390276636905e-6;5.978829093006597e-6;5.895928433166122e-6
5.992798281589408e-6;5.9996066097253675e-6;5.9948162038525295e-6;5.946744409131273e-6;6.032228700433489e-6;6.027475614596098e-6;5.993153128613184e-6;5.901271145510444e-6
6.041350657003775e-6;5.999688532427309e-6;6.014388266471487e-6;6.033858066156832e-6;5.961878762119788e-6;6.095695724782916e-6;6.004854775229672e-6;5.873622400465342e-6
6.112494906962344e-6;5.9999006127537475e-6;5.943694029711462e-6;6.194677216244094e-6;5.982088536434147e-6;5.812353806267845e-6;6.03427128192441e-6;5.880415803994294e-6
5.715221959620986e-6;6.000287729300447e-6;5.935338628438763e-6;5.4888402035800305e-6;5.986826292641335e-6;5.90060733629346e-6;6.0857884100632915e-6;5.879460704838535e-6
5.8306514582585625e-6;5.999263404635134e-6;5.947923123588245e-6;5.68158411663767e-6;5.987171716471587e-6;5.921690811286905e-6;5.855985242358412e-6;5.875144903062791e-6
5.8469125285554186e-6;5.996382047897037e-6;5.945859166266404e-6;5.7362330824275684e-6;5.984080224930165e-6;5.922271572669388e-6;5.924027574783534e-6;5.873091732293412e-6
5.791109513958457e-6;5.988070564023127e-6;5.935155036288477e-6;5.738375642413426e-6;5.9745525199238755e-6;5.912738789221857e-6;5.926716407451904e-6;5.863150494604521e-6
5.6533135760889485e-6;5.957700295000888e-6;5.899056298371118e-6;5.684305102457388e-6;5.943003686296407e-6;5.873790972325901e-6;5.870299585066697e-6;5.818967889960813e-6
5.929276435492903e-6;5.859577762998118e-6;5.777477845804232e-6;5.413501626454723e-6;5.841295553649599e-6;5.719112978105814e-6;5.708642396160986e-6;5.6304201247396775e-6
5.529511596657082e-6;5.647746553283061e-6;5.547316037503357e-6;4.7270465817143504e-6;5.610940947240931e-6;5.323276024728797e-6;5.706468456127467e-6;5.145782537036919e-6
6.295309055430338e-6;6.330276648440458e-6;6.507116141668159e-6;5.157483047511258e-6;6.270260541867939e-6;5.818631549970663e-6;6.264488600939346e-6;5.573706800475634e-6
