x1;x2;x3;x4;x5;x6;x7;x8
4.288330989646382e-6;4.290100374485107e-6;4.362822618721493e-6;4.278260169397926e-6;4.2851139115320485e-6;4.265202799249739e-6;4.286204861108629e-6;4.281408352875931e-6
3.845484175942946e-6;3.8523436859171795e-6;3.9424552064882496e-6;3.825985645265331e-6;3.83611517142715e-6;3.80222970654002e-6;3.8380405707736536e-6;3.824157736106173e-6
3.4853769413977284e-6;3.4862271627283444e-6;3.5062953939028066e-6;3.4694933189073867e-6;3.4974184291508053e-6;3.472282628177599e-6;3.4839003128317598e-6;3.4832947554293537e-6
3.304010019454343e-6;3.3040480720467426e-6;3.286951063323371e-6;3.2885104338751667e-6;3.3252408307340574e-6;3.2924854737637475e-6;3.3031435417465232e-6;3.3037328070664784e-6
3.140346587194706e-6;3.1416175442341947e-6;3.1492351580419596e-6;3.1211754754172018e-6;3.17760412636045e-6;3.1304635992620154e-6;3.1385374340779585e-6;3.1406735220553694e-6
3.0780112714572266e-6;3.078179757218908e-6;3.087881384648413e-6;3.0571680276082055e-6;3.020083185726328e-6;3.0797329924264846e-6;3.077936236812614e-6;3.0877734940259862e-6
3.051081892635542e-6;3.0504228829501387e-6;3.0487339961533072e-6;3.0245166292147433e-6;3.01182784037322e-6;3.0581569608101404e-6;3.051686767769789e-6;3.0465828306349824e-6
3.037561995765231e-6;3.0358388317543846e-6;3.0239583427615627e-6;2.9963606552973576e-6;2.9949980451732586e-6;3.0467598923259027e-6;3.0383961880106833e-6;3.038161273577591e-6
3.0300789451894027e-6;3.0265185059182357e-6;3.01105433730048e-6;2.9670968039146477e-6;2.971786645411995e-6;3.040464968267124e-6;3.0310984815947603e-6;3.0330194448890693e-6
3.0256159702564994e-6;3.0186558753975013e-6;3.0039587373102776e-6;3.070089268268744e-6;3.067026768160289e-6;3.0372790024653607e-6;3.0269865231652776e-6;3.0298338609538923e-6
3.0229086811712526e-6;3.0111520664079493e-6;2.9999590509332435e-6;3.0427624925656526e-6;3.043245153840914e-6;3.0359217088101154e-6;3.0245703737749024e-6;3.027848757889828e-6
3.021350626181451e-6;3.0336126543056506e-6;2.9979283490473372e-6;3.0309777575081448e-6;3.0338963327211796e-6;3.035735484272162e-6;3.023502296831003e-6;3.0268129178638467e-6
3.020348358087199e-6;3.0288796467088255e-6;2.998299737317138e-6;3.02624340267399e-6;3.0318443440280815e-6;3.0363855053527614e-6;3.023826665804646e-6;3.026268281697715e-6
3.019581259913364e-6;3.029365226709152e-6;3.0031816253482864e-6;3.024786407518139e-6;3.0356314474689497e-6;3.03853149860982e-6;3.0257594141167667e-6;3.025822026202631e-6
3.0188460014262233e-6;3.033608566580304e-6;3.0169981266197785e-6;3.026401545205508e-6;3.047696712982167e-6;3.042525944633309e-6;3.0313183311331326e-6;3.025386357410397e-6
3.017994306411823e-6;3.012378377628224e-6;3.04951096879212e-6;3.031766404495824e-6;3.066300134368658e-6;3.033101986353092e-6;3.0441642885974933e-6;3.0246176456756042e-6
3.016389275776367e-6;3.023146788027879e-6;3.0981087718198595e-6;3.0447383040787595e-6;2.967455584327114e-6;3.043658990390817e-6;3.061995521819181e-6;3.023279545927313e-6
3.01324999724789e-6;3.038532869276835e-6;2.8327932845963116e-6;3.0597263461732464e-6;2.9860998115382453e-6;3.0541494671856384e-6;2.9436044960177384e-6;3.020341519086533e-6
3.005553699204788e-6;3.0548627498677137e-6;2.8796397291951957e-6;2.9464833809714404e-6;2.9869584389376207e-6;2.9749556747617607e-6;2.946284282821625e-6;3.012782482073346e-6
2.989407032675312e-6;2.910866016672197e-6;2.877231884756183e-6;2.9515321263422635e-6;2.9717345545017197e-6;2.96643190537091e-6;2.9185736387972615e-6;2.9966865112415487e-6
2.9569503188098666e-6;2.8968892422637787e-6;2.827787293607952e-6;2.9202985872485367e-6;2.9329210199164672e-6;2.92761296545826e-6;2.9992204591442135e-6;2.963651818582089e-6
2.8922024043897074e-6;2.817121647766197e-6;2.6968012227937026e-6;2.8371951134809035e-6;2.8486576973257944e-6;2.9348449544544133e-6;2.9105483444205027e-6;2.8995726151226267e-6
2.7662593566395976e-6;2.6392955027541146e-6;2.462709954875386e-6;2.6648685295891556e-6;2.679144187355446e-6;2.7919674974915026e-6;2.7725197850337676e-6;2.796082304718471e-6
3.048487816496498e-6;2.8447435673841534e-6;3.01615042059182e-6;2.862952331372037e-6;2.870469759235535e-6;2.993139485504009e-6;3.0156172402469718e-6;3.0321072592975368e-6
