x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
3.904559952119304e-6;3.9083068377029286e-6;4.006287514445199e-6;3.853067887868298e-6;3.954281056885191e-6;3.872695323952936e-6;3.900750006639338e-6;3.898971210760432e-6
7.394230225921819e-6;7.40372166648981e-6;7.719995673764772e-6;7.2694089833374786e-6;7.583783173986338e-6;7.3387468374972915e-6;7.385230483668282e-6;7.387946069262277e-6
8.754862725868993e-6;8.762330988509424e-6;9.463092199063887e-6;8.640965264151914e-6;9.33958616216956e-6;8.699586543959669e-6;8.74734415513521e-6;8.769704067335166e-6
9.46541828087348e-6;9.469746617555885e-6;1.076583289370969e-5;9.384592697757874e-6;9.640788555927378e-6;9.42236222788717e-6;9.460347853432275e-6;9.517564537246305e-6
9.750677139486633e-6;9.755610921868887e-6;1.2414129133095008e-5;9.682075084859713e-6;1.0628546869013756e-5;9.710767043929729e-6;9.747431722461334e-6;9.893774728417913e-6
9.814927667788851e-6;9.816516026820667e-6;1.0867158239952342e-5;9.735033230507434e-6;1.015019629276592e-5;9.784866010054353e-6;9.820258863177244e-6;1.0167422946286605e-5
9.818194112231563e-6;9.81501328423366e-6;9.74358487836563e-6;9.685799615672139e-6;9.75173605072293e-6;9.798116522461371e-6;9.847065631100781e-6;1.0309400496404995e-5
9.807595526647082e-6;9.800748335085243e-6;8.516415426789712e-6;9.531906966464766e-6;9.306209787348369e-6;9.796844359132452e-6;9.896111155705706e-6;1.0682956457760254e-5
9.795865246460743e-6;9.786852095618232e-6;6.769131969933096e-6;9.166963331058344e-6;8.646428098977147e-6;9.794301860162578e-6;1.0029309837378437e-5;9.787166111422597e-6
9.787010217296369e-6;9.782650007208237e-6;8.273022565695715e-6;8.493213334912315e-6;9.240718462213301e-6;9.795094662103867e-6;1.0359778439860237e-5;8.895288109923768e-6
9.78165410519816e-6;9.781486016794068e-6;9.186692238524994e-6;9.161604471066504e-6;9.589703278157198e-6;9.802607731420857e-6;1.1004944867131278e-5;9.33691663656199e-6
9.778537076542357e-6;9.78356680917893e-6;9.614660526632483e-6;9.542237684409761e-6;9.777553823472796e-6;9.824585745616454e-6;1.0338164258825115e-5;9.599694794119428e-6
9.776873857256027e-6;9.79257729771661e-6;9.890418991278417e-6;9.721004471464933e-6;9.958906427713752e-6;9.880175208953711e-6;9.991190965159282e-6;9.71084731092276e-6
9.776303420491128e-6;9.8181517683487e-6;1.0264916850519836e-5;9.844573059268284e-6;1.0284261274690419e-5;9.99583373528659e-6;9.845198446278038e-6;9.754866643875253e-6
9.77635482532837e-6;9.883369855306163e-6;1.1028678150987997e-5;1.0023953137069866e-5;1.0877502240936752e-5;1.000486529579103e-5;9.785266829918577e-6;9.771623951269265e-6
9.775367536310204e-6;1.004437181768997e-5;1.2468410714325393e-5;1.0391552465362408e-5;1.0280154134334609e-5;1.0174618147951792e-5;9.757650371375861e-6;9.776805092264525e-6
9.77111108817639e-6;1.0414527056865178e-5;1.096691178958117e-5;1.0917548891222322e-5;9.960947069436986e-6;1.0558115517437885e-5;9.734823071476216e-6;9.774168614021508e-6
9.757010425331473e-6;1.1125680336574164e-5;1.0172495234079162e-5;1.0267680921274056e-5;9.809773431521033e-6;1.0077045250693582e-5;9.693635592240541e-6;9.75998527611966e-6
9.725151724924436e-6;1.0311269754383849e-5;9.750251199716086e-6;9.887943227211731e-6;9.704253919625713e-6;9.729338940945695e-6;9.598240616002168e-6;9.726918731245987e-6
9.651804957633348e-6;9.765039665175758e-6;9.37139489485033e-6;9.61193101166086e-6;9.551740390486471e-6;9.341605254117632e-6;9.361110640494322e-6;9.647615502193503e-6
9.481116405555884e-6;9.209912698107082e-6;8.685823157124287e-6;9.203626891051375e-6;9.213262345644249e-6;8.723005428662673e-6;8.783163085291286e-6;9.461308613198093e-6
9.082936487679988e-6;8.146620122731724e-6;6.953232835388876e-6;8.28301106906316e-6;8.372458097988512e-6;8.792836788641411e-6;7.616251615103727e-6;9.060805187584787e-6
8.212808086046071e-6;5.865328412417149e-6;3.15064252981749e-6;6.2399861133768275e-6;6.474384249971696e-6;8.28091106352481e-6;7.2449098307449055e-6;8.545440667752794e-6
