x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
1.489025180478155e-6;1.4900466944216233e-6;1.3213821372003848e-6;1.4016827787813407e-6;1.3211938438225217e-6;1.4905601215455708e-6;1.4884035183953283e-6;1.4917941633051374e-6
2.030825520510503e-6;2.032427323952259e-6;1.7408607444802628e-6;1.9206955152294083e-6;2.191631666266433e-6;2.0327394070076753e-6;2.0297700318057514e-6;2.0277493437911513e-6
2.3390581348263e-6;2.33816958470905e-6;1.661753478183429e-6;2.2345717347209588e-6;2.009483197008834e-6;2.352107248245249e-6;2.339054054523802e-6;2.312182245654525e-6
2.4935946570497163e-6;2.494136286801837e-6;3.1287530729958694e-6;2.401312827430757e-6;2.6952440542376766e-6;2.507500836254786e-6;2.4907054656778703e-6;2.408331373870777e-6
2.5310480383293713e-6;2.5320304680975854e-6;2.9312386999633813e-6;2.460861609396702e-6;2.683958704831371e-6;2.5485232232283346e-6;2.521219555542865e-6;2.471010556726939e-6
2.5346891522230463e-6;2.5351202300143403e-6;2.937618172040813e-6;2.5114201655651433e-6;2.6882917933874104e-6;2.55529589539386e-6;2.5070956451593314e-6;2.3563509160888887e-6
2.531090018104518e-6;2.530751711245252e-6;3.1817806286499748e-6;2.6148995561470075e-6;2.782887936538777e-6;2.5541051835093723e-6;2.4607661475626115e-6;2.9339698225244216e-6
2.5266018415411243e-6;2.5233186021473617e-6;1.6888764835784917e-6;2.767656119194193e-6;2.20915827894216e-6;2.5511847480762325e-6;2.3587697466669367e-6;2.942362683593917e-6
2.522894907087063e-6;2.5194681525652283e-6;1.8921347402027755e-6;2.162194090649405e-6;2.30645528097574e-6;2.547105995356612e-6;2.201122879429803e-6;2.303366662858864e-6
2.5205526994098167e-6;2.5168451647968887e-6;2.1974926609468746e-6;2.2796269269062014e-6;2.410925943819436e-6;2.539405230702553e-6;2.789298044048347e-6;2.3613703551112486e-6
2.5190732885161334e-6;2.5126455380052013e-6;2.308211012255157e-6;2.408165041199005e-6;2.426451565525167e-6;2.5221820688351566e-6;2.640871975422308e-6;2.4554154643536007e-6
2.518064786050595e-6;2.5037518208497733e-6;2.2717826007253202e-6;2.4501158876766876e-6;2.3589623002864753e-6;2.4918970990137266e-6;2.516050725959828e-6;2.499147227418724e-6
2.5174483313468684e-6;2.483310697971827e-6;2.0836144489899936e-6;2.427574666058202e-6;2.2280486682300415e-6;2.5368295829130206e-6;2.4603349447011257e-6;2.516882747696012e-6
2.517706492701761e-6;2.4347337468384093e-6;1.757968948587078e-6;2.335317682332306e-6;2.7638368511970453e-6;2.457732429177839e-6;2.4386485229279147e-6;2.524175110166033e-6
2.519093195359564e-6;2.3289146042351515e-6;3.0712905052273465e-6;2.2517499701957398e-6;2.6365533707499235e-6;2.3480734654759163e-6;2.4338859494326846e-6;2.528551590536927e-6
2.5237624397253216e-6;2.1606023079745564e-6;2.7191698160271783e-6;2.781669586575996e-6;2.530734904613208e-6;2.737245096619641e-6;2.4420535328484224e-6;2.5344054372345345e-6
2.5325752782476292e-6;2.8475243660741937e-6;2.4842636605452995e-6;2.655966989411047e-6;2.4965691958604814e-6;2.680112743366952e-6;2.468907202170747e-6;2.5439605441496933e-6
2.5535412595734214e-6;2.727281338777955e-6;2.438877205730847e-6;2.581725835459993e-6;2.515516121251471e-6;2.685106920695455e-6;2.540364533322962e-6;2.5673539111504004e-6
2.6032554543185633e-6;2.70749946219092e-6;2.587322111862752e-6;2.6379759063135123e-6;2.6082412105815373e-6;2.7933809736090787e-6;2.714238059324135e-6;2.6217976144847685e-6
2.721075951421412e-6;2.9603502202902273e-6;3.1496857727549945e-6;2.899453383418514e-6;2.8678492540747706e-6;2.486947187681358e-6;3.018955539514491e-6;2.7321690772936564e-6
2.965656614538778e-6;3.606400202479409e-6;4.34266162668883e-6;3.492957825012163e-6;3.4257415828780826e-6;2.7630687923287353e-6;2.677953245434602e-6;2.8037088538878512e-6
2.7994036665703105e-6;3.7742802514457825e-6;4.639708138905305e-6;3.6331724639859056e-6;3.5461781239381165e-6;2.6924311516122005e-6;2.627303213446031e-6;2.6058291795358993e-6
