x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
4.278297752959153e-6;4.2784654977833635e-6;3.853902079651887e-6;3.7049890979605153e-6;3.3758810918769682e-6;4.323223634275982e-6;4.279510126713163e-6;4.364004185217351e-6
4.863627468063871e-6;4.866008032054696e-6;4.3178442302501484e-6;4.405606256345906e-6;5.829550300288406e-6;4.9183712070192315e-6;4.863069615789615e-6;4.920715117280881e-6
5.188244735730565e-6;5.182207824797613e-6;3.3230329812691145e-6;4.793490088535753e-6;4.1789806710337365e-6;5.248013352330358e-6;5.193309447441276e-6;5.171765859449905e-6
5.293144734626007e-6;5.28929608180512e-6;6.56299279475222e-6;4.922364615981573e-6;5.822919318272143e-6;5.35728350935292e-6;5.297606147844594e-6;5.112137223637595e-6
5.268495741035213e-6;5.259547434749555e-6;5.632461266200036e-6;4.923970321700639e-6;5.513441903650625e-6;5.330336924194226e-6;5.2720413802928534e-6;5.128998570088047e-6
5.2169097875336655e-6;5.204713134327003e-6;5.854819520677547e-6;4.987617625151895e-6;5.4862434566921676e-6;5.296223852292553e-6;5.198511908884439e-6;4.597067065495652e-6
5.195379797010229e-6;5.194303739715152e-6;6.91726468280817e-6;5.318507915334002e-6;5.903105786901252e-6;5.279116637138916e-6;5.087839814695695e-6;6.269840443830882e-6
5.185147696100348e-6;5.187931560071296e-6;2.7249929282690904e-6;5.916375783914739e-6;4.183725347387878e-6;5.271100813369005e-6;4.790761312582795e-6;6.344365970465366e-6
5.179235680135757e-6;5.176148590716614e-6;3.187923360062094e-6;4.0639795004555734e-6;4.53240052952459e-6;5.265551024055573e-6;4.2143108049315646e-6;4.396686073817114e-6
5.175184798584806e-6;5.168503151711153e-6;4.485761719722134e-6;4.446560076889272e-6;4.984858928706543e-6;5.248711344717801e-6;5.896301067526033e-6;4.636828495083254e-6
5.1721696241014645e-6;5.163350473043053e-6;4.8774568721753084e-6;4.971173614805572e-6;5.04525660130257e-6;5.2094145668047255e-6;5.3555357808041295e-6;5.033686888805572e-6
5.169968886352015e-6;5.156239812694319e-6;4.7794817780065835e-6;5.105493488196273e-6;4.827323777262704e-6;5.128861250454179e-6;4.984053628516059e-6;5.161968072940059e-6
5.1681077833859155e-6;5.130524067437144e-6;4.251057863414204e-6;5.028808374281443e-6;4.3077816768382345e-6;5.275833867621201e-6;4.850489063668982e-6;5.1913477486883106e-6
5.166482251374259e-6;5.022962814430399e-6;3.1985481526772335e-6;4.735417208421274e-6;5.835414796410194e-6;5.029256984516519e-6;4.809790819617635e-6;5.195499203950233e-6
5.165144325352247e-6;4.71539495538033e-6;6.379430509772731e-6;4.357656939830561e-6;5.353288164590107e-6;4.6070366545036215e-6;4.799703576787995e-6;5.1947116512538545e-6
5.16655296873544e-6;4.06826520442408e-6;5.1699220732291954e-6;5.84231433972817e-6;5.015048557957871e-6;5.709814179410152e-6;4.80397723008932e-6;5.196630209186604e-6
5.170177678292044e-6;5.957713550155222e-6;4.498181710294732e-6;5.324468057207805e-6;4.894405597480922e-6;5.438138236949344e-6;4.830466187794842e-6;5.203282309289628e-6
5.1856336877462215e-6;5.3605262595597035e-6;4.260261020795958e-6;4.986765299110293e-6;4.872874303092705e-6;5.4156142715423205e-6;4.9547206118706115e-6;5.231676301648071e-6
5.243165475480655e-6;5.067245648931598e-6;4.3189176240038775e-6;4.978116408270739e-6;4.97532154530091e-6;5.750777027221012e-6;5.399622820351701e-6;5.318834397697721e-6
5.458883826247178e-6;5.686308226542411e-6;5.507529034055212e-6;5.622858079159957e-6;5.601361225238072e-6;4.73370785863633e-6;6.270399500879053e-6;5.528112834288271e-6
6.01528247463825e-6;7.870725072629234e-6;9.218218844688043e-6;7.587039302864421e-6;7.4137432223755695e-6;5.351534888528929e-6;5.02593224178725e-6;5.514051167977329e-6
5.693912309476964e-6;8.895403314289069e-6;1.0387584995550622e-5;8.520637413957685e-6;8.277783540275006e-6;5.340524604676127e-6;4.992267271439846e-6;4.9834333376925025e-6
