x1;x2;x3;x4;x5;x6;x7;x8
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;5.4968920923851664e-14;0.0;0.0;0.0
0.0;0.0;4.367814675591422e-13;1.0617135612891172e-12;2.885099668941592e-12;0.0;0.0;0.0
0.0;0.0;6.0461707676553906e-12;7.033426494110021e-12;1.3353178594591765e-11;1.0146948774362515e-13;0.0;0.0
0.0;0.0;2.420127344339515e-11;2.2356096658895376e-11;3.3234128155402754e-11;3.9454057936901635e-12;2.020103375793046e-13;0.0
4.533251721897705e-15;7.252776744982459e-13;5.1902691191161e-11;5.279926782760226e-11;6.947415686409155e-11;1.5946191841567564e-11;1.9128055743286638e-11;0.0
7.422099776272386e-13;2.9971381537944714e-12;8.463126438273888e-11;9.527259211733938e-11;1.1406853310940318e-10;2.8849346718259405e-11;6.319706370532047e-11;2.973958647909697e-13
4.512132089845551e-12;5.591879042827604e-12;1.1654657980241642e-10;1.3500077383658258e-10;1.5609699826295627e-10;4.293354570859339e-11;7.171230161578418e-11;3.744569175918382e-12
1.3291413875743467e-11;9.523023600540136e-12;1.3977971115957966e-10;1.6017044363615057e-10;1.8363639055717748e-10;5.358586078251358e-11;7.751939130476078e-11;1.0663034121736892e-11
2.754297231592481e-11;1.3003813331463173e-11;1.4564868253289654e-10;1.7116947466312354e-10;1.9330566703079158e-10;5.777517844750382e-11;8.201369937684748e-11;1.4084175412962648e-11
4.0658464729120325e-11;1.4598289132875406e-11;1.3516231622071112e-10;1.7150561936941105e-10;1.9003065404811892e-10;5.6061762934330624e-11;7.450126974181622e-11;1.5790746051499585e-11
4.074940010075543e-11;1.3318858905466489e-11;1.1350925781949248e-10;1.6004580529517835e-10;1.759804034328323e-10;4.9570044406659046e-11;5.5930989778651474e-11;1.4842512917862975e-11
2.607789239106682e-11;9.205940122987235e-12;8.683075850087302e-11;1.356673442034389e-10;1.5259742330410777e-10;3.999813883312959e-11;3.5427758817899374e-11;1.1581979586683338e-11
9.90716281397247e-12;4.3123430841850744e-12;5.878447188269125e-11;1.0001663968317015e-10;1.1951800874081552e-10;2.773673195958467e-11;1.5903772306444905e-11;6.536690074779236e-12
2.310470162191071e-12;1.111425690251472e-12;3.5169427588927314e-11;6.07763617397244e-11;8.05201785625562e-11;1.4063398010039353e-11;3.5180101695617548e-12;2.0415847275696945e-12
0.0;8.644607669812692e-14;1.7802008684746472e-11;2.9013348374380283e-11;4.5481424761481026e-11;3.850348557664846e-12;4.1530544646709316e-14;2.6136222432006903e-13
0.0;0.0;5.794383245101144e-12;1.0155901670043528e-11;2.0189796790886343e-11;2.542505194348081e-13;0.0;0.0
0.0;0.0;7.634660991433758e-13;1.8919175802098118e-12;5.585941337352334e-12;0.0;0.0;0.0
0.0;0.0;0.0;4.533251721897705e-15;4.212977519160673e-13;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
